natural,formal,score
"Let $a_{2}, \ldots, a_{n}$ be $n-1$ positive real numbers, where $n \geq 3$, such that $a_{2} a_{3} \cdots a_{n}=1$. Prove that

$$
\left(1+a_{2}\right)^{2}\left(1+a_{3}\right)^{3} \cdots\left(1+a_{n}\right)^{n}>n^{n}.
$$","theorem lean_workbook_plus_7104 (n : ℕ) (ha : 3 ≤ n) (a : ℕ → ℝ) (ha' : 0 < n) (ha'' : ∏ i in Finset.Icc 2 n, a i = 1) : (∏ i in Finset.Icc 2 n, 1 + a i)^n > n^n := by sorry",7
"Let $\mathbb{N}$ be the set of all positive integers. Find all functions $f: \mathbb{N} \rightarrow \mathbb{N}$ such that the number $(f(m)+n)(m+f(n))$ is a square for all $m, n \in \mathbb{N}$.

The final answers are all functions of the form $f(n)=n+c$, where $c \in \mathbb{N} \cup\{0\}$.","theorem lean_workbook_plus_5728 (f : ℕ → ℕ) (hf: ∃ k, ∃ ℓ, (f k + ℓ) * (k + f ℓ) = m ^ 2) : ∃ c, ∀ n, f n = n + c := by sorry",3
"Define $P(n)=n^{2}+n+1$. For any positive integers $a$ and $b$, the set

$$
\{P(a), P(a+1), P(a+2), \ldots, P(a+b)\}
$$

is said to be fragrant if none of its elements is relatively prime to the product of the other elements. Determine the smallest size of a fragrant set.

The final answer is 6.","theorem lean_workbook_plus_31178  (a : ℕ)
  (h₀ : a ≡ 7 [ZMOD 19])
  (h₁ : a + 1 ≡ 2 [ZMOD 7])
  (h₂ : a + 2 ≡ 1 [ZMOD 3])
  (h₃ : 0 < a + 5)
  (h₄ : a + 5 < 19)
  (h₅ : 0 < a + 2)
  (h₆ : a + 2 < 19)
  (h₇ : 0 < a + 1)
  (h₈ : a + 1 < 19)
  (h₉ : 0 < a)
  (h₁₀ : a < 19) :
  Nat.Coprime (a^2 + a + 1) (a^2 + 3 * a + 3) := by sorry",2
"Find all functions $f: \mathbb{R} \rightarrow \mathbb{R}$ satisfying the equation

$$
f(x+f(x+y))+f(x y)=x+f(x+y)+y f(x)
$$

for all real numbers $x$ and $y$.

The final answer is that there are two such functions, namely the identity function and $x \mapsto 2-x$.","theorem lean_workbook_plus_3026 (f : ℝ → ℝ) (hf: f (x + f (x + y)) + f (x * y) = x + f (x + y) + y * f x) : ∃ g : ℝ → ℝ, g x = x ∨ g x = 2 - x := by sorry",8
"Find all functions $f: \mathbb{Z} \rightarrow \mathbb{Z}$ such that

$$
n^{2}+4 f(n)=f(f(n))^{2}
$$

for all $n \in \mathbb{Z}$.

The final answer is that the possibilities are:

\begin{itemize}
  \item $f(n)=n+1$ for all $n$

  \item or, for some $a \geqslant 1, \quad f(n)= \begin{cases}n+1, & n>-a, \\ -n+1, & n \leqslant-a ;\end{cases}$

  \item or $f(n)= \begin{cases}n+1, & n>0 \\ 0, & n=0 \\ -n+1, & n<0\end{cases}$

\end{itemize}","theorem lean_workbook_plus_27750  (n : ℤ)
  (f : ℤ → ℤ)
  (h₀ : ∀ n, n^2 + 4 * f n = (f n)^2) :
  ∃ m ≥ 0, ∀ n < m, f n = n + 1 ∨ ∃ a ≥ 1, ∀ n ≤ -a, f n = -n + 1 ∨ ∃ a ≥ 1, ∀ n ≤ -a, f n = n + 1 ∧ f 0 = 0 := by sorry",6
"Let $A$ be a finite set of (not necessarily positive) integers, and let $m \geqslant 2$ be an integer. Assume that there exist non-empty subsets $B_{1}, B_{2}, B_{3}, \ldots, B_{m}$ of $A$ whose elements add up to the sums $m^{1}, m^{2}, m^{3}, \ldots, m^{m}$, respectively. Prove that $A$ contains at least $m / 2$ elements.","theorem lean_workbook_plus_23800 (m : ℕ) (hm : 2 ≤ m) (A : Finset ℤ) (hA : 0 < m) (hA' : ∃ B : Finset ℤ, B ⊆ A ∧ ∑ i in B, i = m) : m / 2 ≤ A.card := by sorry",3
"Find all pairs $(m, n)$ of nonnegative integers for which

$$
m^{2}+2 \cdot 3^{n}=m\left(2^{n+1}-1\right).
$$

The final answers are $(6,3),(9,3),(9,5),(54,5)$.","theorem lean_workbook_plus_23698  (m n : ℕ)
  (h₀ : 0 ≤ m)
  (h₁ : 0 ≤ n)
  (h₂ : m^2 + 2 * 3^n = m * (2^(n+1) - 1)) :
  m = 6 ∧ n = 3 ∨ m = 9 ∧ n = 3 ∨ m = 9 ∧ n = 5 ∨ m = 54 ∧ n = 5 := by sorry",10
"Determine all functions $f: \mathbb{Z} \rightarrow \mathbb{Z}$ satisfying

$$
f(f(m)+n)+f(m)=f(n)+f(3 m)+2014
$$

for all integers $m$ and $n$.

The final answer is that there is only one such function, namely $n \longmapsto 2 n+1007$.","theorem lean_workbook_plus_43203 (f : ℤ → ℤ) (hf: ∀ m n : ℤ, f (f m + n) + f m = f n + f (3 * m) + 2014) : ∃! A : ℤ, ∀ m : ℤ, f m = A * m + 1007 := by sorry",8
"Call admissible a set $A$ of integers that has the following property:

$$
\text { If } x, y \in A \text { (possibly } x=y \text { ) then } x^{2}+k x y+y^{2} \in A \text { for every integer } k \text {. }
$$

Determine all pairs $m, n$ of nonzero integers such that the only admissible set containing both $m$ and $n$ is the set of all integers.

The final answer is that a pair of integers $m, n$ fulfills the condition if and only if $\operatorname{gcd}(m, n)=1$.","theorem lean_workbook_plus_28029  (m n : ℤ)
  (A : Set ℤ)
  (hA : ∀ x y : ℤ, x ∈ A ∧ y ∈ A → ∃ k : ℤ, x^2 + k * x * y + y^2 ∈ A)
  (hA1 : m ∈ A ∧ n ∈ A)
  (hA2 : A ≠ ∅)
  (hA3 : ∀ x y : ℤ, x ∈ A ∧ y ∈ A → ∃ k : ℤ, x^2 + k * x * y + y^2 ∈ A)
  (hA4 : m * n ≠ 0) :
  ∀ x y : ℤ, x ∈ A ∧ y ∈ A → ∃ k : ℤ, x^2 + k * x * y + y^2 ∈ A := by sorry",6
"Let $\mathbb{Z}$ be the set of integers. Determine all functions $f: \mathbb{Z} \rightarrow \mathbb{Z}$ such that, for all integers $a$ and $b$

$$
f(2 a)+2 f(b)=f(f(a+b))
$$

The final answers are $f(n)=0$ and $f(n)=2 n+K$ for any constant $K \in \mathbb{Z}$.","theorem lean_workbook_plus_15936  (f : ℤ → ℤ)
  (h₀ : ∀ a b, f (2 * a) + 2 * f b = f (f (a + b))) :
  ∃ M K : ℤ, ∀ n, f n = M * n + K := by sorry",6
"Let $\mathcal{S}$ be a set consisting of $n \geqslant 3$ positive integers, none of which is a sum of two other distinct members of $\mathcal{S}$. Prove that the elements of $\mathcal{S}$ may be ordered as $a_{1}, a_{2}, \ldots, a_{n}$ so that $a_{i}$ does not divide $a_{i-1}+a_{i+1}$ for all $i=2,3, \ldots, n-1$.","theorem lean_workbook_plus_24744 (n : ℕ) (hn : 3 ≤ n) (S : Finset ℕ) (hS : ∀ x y : ℕ, x ∈ S ∧ y ∈ S ∧ x ≠ y → x ≠ y + z) : ∃ f : ℕ → ℕ, ∀ i : ℕ, i < n → ¬ f i ∣ f (i-1) + f (i+1) := by sorry",7
"Determine all positive integers $M$ for which the sequence $a_{0}, a_{1}, a_{2}, \ldots$, defined by $a_{0}=\frac{2 M+1}{2}$ and $a_{k+1}=a_{k}\left\lfloor a_{k}\right\rfloor$ for $k=0,1,2, \ldots$, contains at least one integer term.

The final answers are all integers $M \geqslant 2$.","theorem lean_workbook_plus_69404 (M : ℕ) (hm : 2 ≤ M) : ∃ k, (2 * M + 1) / 2 = ↑k := by sorry",3
"Let $n$ be a positive integer, and set $N=2^{n}$. Determine the smallest real number $a_{n}$ such that, for all real $x$,

$$
\sqrt[N]{\frac{x^{2 N}+1}{2}} \leqslant a_{n}(x-1)^{2}+x
$$

The final answer is $a_{n}=N / 2$.",theorem lean_workbook_plus_17704 (n : ℕ) (N : ℕ) (x : ℝ) (hN : N = 2 ^ n) : (x ^ (2 ^ n) + 1) ^ (1 / N) ≤ (N / 2) * (x - 1) ^ 2 + x := by sorry,8
"Determine all pairs $(x, y)$ of positive integers such that

$$
\sqrt[3]{7 x^{2}-13 x y+7 y^{2}}=|x-y|+1.
$$

The answer is that either $(x, y)=(1,1)$ or $\{x, y\}=\left\{m^{3}+m^{2}-2 m-1, m^{3}+2 m^{2}-m-1\right\}$ for some positive integer $m \geqslant 2$.","theorem lean_workbook_plus_60874 (x y : ℤ) (hx : 0 < x) (hy : 0 < y) (h : (7 * x ^ 2 - 13 * x * y + 7 * y ^ 2) ^ (1 / 3) = |x - y| + 1) : ∃ m : ℤ, 2 ≤ m ∧ (x, y) = (m ^ 3 + m ^ 2 - 2 * m - 1, m ^ 3 + 2 * m ^ 2 - m - 1) := by sorry",6
"Find the largest possible integer $k$, such that the following statement is true:

Let 2009 arbitrary non-degenerated triangles be given. In every triangle the three sides are colored, such that one is blue, one is red and one is white. Now, for every color separately, let us sort the lengths of the sides. We obtain

$$
\begin{aligned}
& b_{1} \leq b_{2} \leq \ldots \leq b_{2009} \quad \text { the lengths of the blue sides, } \\
& r_{1} \leq r_{2} \leq \ldots \leq r_{2009} \quad \text { the lengths of the red sides, } \\
& \text { and } \quad w_{1} \leq w_{2} \leq \ldots \leq w_{2009} \quad \text { the lengths of the white sides. }
\end{aligned}
$$

Then there exist $k$ indices $j$ such that we can form a non-degenerated triangle with side lengths $b_{j}, r_{j}, w_{j}$

The final answer is that the largest possible number $k$ of indices satisfying the given condition is one.","theorem lean_workbook_plus_40341  (b r w : ℕ → ℝ)
  (h₀ : ∀ j, 0 < b j ∧ 0 < r j ∧ 0 < w j)
  (h₁ : ∀ j, b j ≤ b (j + 1) ∧ r j ≤ r (j + 1) ∧ w j ≤ w (j + 1))
  (h₂ : ∃ k, k ≤ 2009 ∧ (∀ j < k, b j + r j > w j))
  (h₃ : ∀ j, b j + r j ≤ w j)
  (h₄ : 0 < 2009) :
  1 ≤ 2009 := by sorry",7
"Let $n \geqslant 3$ be a positive integer and let $\left(a_{1}, a_{2}, \ldots, a_{n}\right)$ be a strictly increasing sequence of $n$ positive real numbers with sum equal to 2. Let $X$ be a subset of $\{1,2, \ldots, n\}$ such that the value of

$$
\left|1-\sum_{i \in X} a_{i}\right|
$$

is minimised. Prove that there exists a strictly increasing sequence of $n$ positive real numbers $\left(b_{1}, b_{2}, \ldots, b_{n}\right)$ with sum equal to 2 such that

$$
\sum_{i \in X} b_{i}=1
$$","theorem lean_workbook_plus_71038  (n : ℕ)
  (ha : 3 ≤ n)
  (a : ℕ → ℝ)
  (hab : ∀ i, 0 < a i)
  (h : ∑ i in Finset.range n, a i = 2)
  (X : Finset ℕ)
  (hX : X ⊆ Finset.range n)
  (hX' : ∀ i, i ∈ X → 0 < a i)
  (hX'' : ∀ i, i ∈ X → a i < a (i + 1))
  (hX''' : ∀ i, i ∈ X → a i + a (i + 1) ≤ 2)
  (hX''': ∀ i, i ∈ X → a i + a (i + 1) ≥ 2)
  (hX4 : ∀ i, i ∈ X → i + 1 ∈ Finset.range n)
  (hX5 : ∀ i, i ∈ X → i + 1 ∉ X)
  (hX6 : ∀ i, i ∈ X → i + 1 ∉ Finset.range n)
  (hX7 : ∀ i, i ∈ X → a i + a (i + 1) = 2) :
  ∃ b : ℕ → ℝ,
    (∀ i, 0 < b i)
    ∧ (∀ i, b i < b (i + 1))
    ∧ (∑ i in Finset.range n, b i = 2)
    ∧ (∃ i, i ∈ X ∧ b i + b (i + 1) = 2) := by sorry",4
"An integer $a$ is called friendly if the equation $\left(m^{2}+n\right)\left(n^{2}+m\right)=a(m-n)^{3}$ has a solution over the positive integers.

Prove that there are at least 500 friendly integers in the set $\{1,2, \ldots, 2012\}$.","theorem lean_workbook_31734  (a : ℕ)
  (h₀ : 0 < a)
  (h₁ : a ≤ 2012) :
  ∃ m n : ℕ, (m^2 + n) * (n^2 + m) = a * (m - n)^3 := by sorry",7
"Determine all functions $f:(0, \infty) \rightarrow \mathbb{R}$ satisfying

$$
\left(x+\frac{1}{x}\right) f(y)=f(x y)+f\left(\frac{y}{x}\right)
$$

for all $x, y>0$.

The final answer is $f(x)=C_{1} x+\frac{C_{2}}{x}$ with arbitrary constants $C_{1}$ and $C_{2}$.","theorem lean_workbook_plus_15846 (f : ℝ → ℝ) (hf: f x * (x + 1/x) = f (x*y) + f (y/x)) : ∃ C1 C2 : ℝ, ∀ x y : ℝ, f x = C1 * x + C2 / x := by sorry",3
"Find all integer solutions of the equation

$$
\frac{x^{7}-1}{x-1}=y^{5}-1 \text {. }
$$

The final answer is that the given equation has no integer solutions.","theorem lean_workbook_plus_13442  (x y : ℤ)
  (h₀ : 0 < x)
  (h₁ : 0 < y)
  (h₂ : (x^7 - 1) / (x - 1) = y^5 - 1) :
  False := by sorry",8
"Find all the functions $f: \mathbb{Z} \rightarrow \mathbb{Z}$ such that

$$
f(a)^{2}+f(b)^{2}+f(c)^{2}=2 f(a) f(b)+2 f(b) f(c)+2 f(c) f(a)
$$

for all integers $a, b, c$ satisfying $a+b+c=0$.

The final answer is that the only possible solutions of the functional equation are the constant function $f_{1}(x)=0$ and the following functions:

$$
f_{2}(x)=k x^{2} \quad f_{3}(x)=\left\{\begin{array}{ccc}
0 & x \text { even } \\
k & x \text { odd }
\end{array} \quad f_{4}(x)=\left\{\begin{array}{ccc}
0 & x \equiv 0 & (\bmod 4) \\
k & x \equiv 1 & (\bmod 2) \\
4 k & x \equiv 2 & (\bmod 4)
\end{array}\right.\right.
$$

for any non-zero integer $k$.",theorem lean_workbook_plus_13405 (f : ℤ → ℤ) (hf: f 0 = 0) (hf2: f 1 = k) (hf3: f 2 = 0) (hf4: f 3 = 9 * k) (hf5: f 4 = 16 * k) (hf6: f (x + 1) = f x) (hf7: f (x + 2) = f x) (hf8: f (x + 3) = f x) (hf9: f (x + 4) = f x) : f x = k * x ^ 2 := by sorry,3
"Let $a_{1}, a_{2}, a_{3}, \ldots$ be an infinite sequence of positive integers such that $a_{n+2 m}$ divides $a_{n}+a_{n+m}$ for all positive integers $n$ and $m$. Prove that this sequence is eventually periodic, i.e. there exist positive integers $N$ and $d$ such that $a_{n}=a_{n+d}$ for all $n>N$.","theorem lean_workbook_plus_32469  (a : ℕ → ℕ)
  (h₀ : ∀ n m, a (n + 2 * m) ∣ a n + a (n + m))
  (h₁ : ∃ N d, ∀ n > N, a (n + d) = a n) :
  ∃ N d, ∀ n > N, a (n + d) = a n := by sorry",9
"Prove that, for every positive integer $n$, there exists an integer $m$ such that $2^{m}+m$ is divisible by $n$.","theorem lean_workbook_plus_23813 (n : ℕ) : ∃ m : ℕ, n ∣ 2^m + m := by sorry",8
